PARENTUNID,Name,Stage,Status,FacilityType,DocumentID,Address,City,County,State,Zip,PHF,PHFCooked,PHFRaw,Database,HSUNID,FacilityName,FacilityType,InspectionType,InspectedBy,InspectionDate,NumCritical,NumNonCritical,TimeSpent,Enforcement,NonSmoking,Code,Description,IsCritical,IsRepeat,Observations,CorrectiveActions,CiolCorrectedSet,UNID,ViolUNID
000742E5C32EA696852572AD006B04E7,Court Square Tavern,Active,Permitted,Full Service Restaurant,SWAS-6ZRQWU,500 East Jefferson Street #305,Charlottesville,Charlottesville City,VA,22902,Yes,No,Yes,Thomas Jefferson,84E71FE15B42A50A852578D8006DA5E9,Court Square Tavern,Full Service Restaurant,Routine,Eric S. Myers,7/6/11 0:00,3,5,1.3,,Smoke Free,830,Date Marking - Ready-to-Eat - Potentially Hazardous Food - Date Marking*,TRUE,TRUE,The prepared ready-to-eat (RTE) foods in the refrigeration unit is not properly dated for disposition.,"Mark the name and ""consume by"" date on the container of RTE foods at the time of preparation if the food is to be held for more than 24 hours. If the food is held at 41¡F or below the food shall be served or sold within 7 calendar days. Some harmful bacteria continue to grow even at refrigeration temperatures so limiting the amount of time in storage limits the amount of growth allowed for these bacteria.  Manager agreed to correct.",,84E71FE15B42A50A852578D8006DA5E9,84E71FE15B42A50A852578D8006DA5E9
000742E5C32EA696852572AD006B04E7,Court Square Tavern,Active,Permitted,Full Service Restaurant,SWAS-6ZRQWU,500 East Jefferson Street #305,Charlottesville,Charlottesville City,VA,22902,Yes,No,Yes,Thomas Jefferson,84E71FE15B42A50A852578D8006DA5E9,Court Square Tavern,Full Service Restaurant,Routine,Eric S. Myers,7/6/11 0:00,3,5,1.3,,Smoke Free,840,Ready-to-Eat - Potentially Hazardous Food - Disposition*,TRUE,TRUE,"According to the """"consume by"""" date on the commercially processed ready-to-eat (RTE) foods in the refrigerator, the food should have been discarded.","Discard the food at this time and ensure all commercially processed RTE food is served, sold or discarded by the """"consume by"""" date after opening. Some harmful bacteria continue to grow even at refrigeration temperatures so limiting the amount of time in storage limits the amount of growth allowed for these bacteria.",Corrected,84E71FE15B42A50A852578D8006DA5E9,84E71FE15B42A50A852578D8006DA5E9
000742E5C32EA696852572AD006B04E7,Court Square Tavern,Active,Permitted,Full Service Restaurant,SWAS-6ZRQWU,500 East Jefferson Street #305,Charlottesville,Charlottesville City,VA,22902,Yes,No,Yes,Thomas Jefferson,84E71FE15B42A50A852578D8006DA5E9,Court Square Tavern,Full Service Restaurant,Routine,Eric S. Myers,7/6/11 0:00,3,5,1.3,,Smoke Free,1530,"Sanitizing Solutions, Testing Devices",FALSE,TRUE,There is no properly working test kit provided in the facility for monitoring the concentration of the chemical sanitizing solutions.,Obtain a chlorine test kit so that employees can accurately monitor the concentration of the sanitizing solutions and maintain them at a safe and effective level.,,84E71FE15B42A50A852578D8006DA5E9,84E71FE15B42A50A852578D8006DA5E9
000742E5C32EA696852572AD006B04E7,Court Square Tavern,Active,Permitted,Full Service Restaurant,SWAS-6ZRQWU,500 East Jefferson Street #305,Charlottesville,Charlottesville City,VA,22902,Yes,No,Yes,Thomas Jefferson,84E71FE15B42A50A852578D8006DA5E9,Court Square Tavern,Full Service Restaurant,Routine,Eric S. Myers,7/6/11 0:00,3,5,1.3,,Smoke Free,1700,"Warewashing - Manual & Mechanical Warewashing Equipment, Chemical Sanitization - Temperature, pH, Concentration & Hardness*",TRUE,FALSE,Chlorine sanitizing solution used was not at an acceptable concentration.,"Immediately discontinue the use of the machine until it is operating in accordance with minimum requirements. Initiate manual wash, rinse, and sanitize method to properly clean and sanitize equipment and utensils. To minimize workload you can move to all single service utensils.  Manager agreed to corrective actions and to call for a service technician.",,84E71FE15B42A50A852578D8006DA5E9,84E71FE15B42A50A852578D8006DA5E9
000742E5C32EA696852572AD006B04E7,Court Square Tavern,Active,Permitted,Full Service Restaurant,SWAS-6ZRQWU,500 East Jefferson Street #305,Charlottesville,Charlottesville City,VA,22902,Yes,No,Yes,Thomas Jefferson,84E71FE15B42A50A852578D8006DA5E9,Court Square Tavern,Full Service Restaurant,Routine,Eric S. Myers,7/6/11 0:00,3,5,1.3,,Smoke Free,1770 B,"Equipment - Food Contact Surfaces, Nonfood Contact Surfaces, and Utensils",FALSE,FALSE,Some areas of the ice machine had interior mold.,"Wash, rinse and sanitize the ice machine at regular intervals per manufacturer's schedule and directions.  Manager agreed to take corrective action.",,84E71FE15B42A50A852578D8006DA5E9,84E71FE15B42A50A852578D8006DA5E9
000742E5C32EA696852572AD006B04E7,Court Square Tavern,Active,Permitted,Full Service Restaurant,SWAS-6ZRQWU,500 East Jefferson Street #305,Charlottesville,Charlottesville City,VA,22902,Yes,No,Yes,Thomas Jefferson,84E71FE15B42A50A852578D8006DA5E9,Court Square Tavern,Full Service Restaurant,Routine,Eric S. Myers,7/6/11 0:00,3,5,1.3,,Smoke Free,3045,Handwashing Signage/Handwashing Facilities,FALSE,TRUE,A sign or poster that notifies food employees to wash their hands is not provided at all lavatories used by food employees,Provide a sign or poster that notifies food employees to wash their hands at all handwashing lavatories used by food employees.,Corrected,84E71FE15B42A50A852578D8006DA5E9,84E71FE15B42A50A852578D8006DA5E9
000742E5C32EA696852572AD006B04E7,Court Square Tavern,Active,Permitted,Full Service Restaurant,SWAS-6ZRQWU,500 East Jefferson Street #305,Charlottesville,Charlottesville City,VA,22902,Yes,No,Yes,Thomas Jefferson,84E71FE15B42A50A852578D8006DA5E9,Court Square Tavern,Full Service Restaurant,Routine,Eric S. Myers,7/6/11 0:00,3,5,1.3,,Smoke Free,3080,"Lighting, Intensity",FALSE,FALSE,Less than 50 foot candles of light was noted in the back food preparation area.,"Provide at least 50 foot candles at a surface where a food employee is working with food or working with utensils or equipment such as knives, slicers, grinders, or saws where employee safety is a factor.  Replace all burned out lights.",,84E71FE15B42A50A852578D8006DA5E9,84E71FE15B42A50A852578D8006DA5E9
000742E5C32EA696852572AD006B04E7,Court Square Tavern,Active,Permitted,Full Service Restaurant,SWAS-6ZRQWU,500 East Jefferson Street #305,Charlottesville,Charlottesville City,VA,22902,Yes,No,Yes,Thomas Jefferson,84E71FE15B42A50A852578D8006DA5E9,Court Square Tavern,Full Service Restaurant,Routine,Eric S. Myers,7/6/11 0:00,3,5,1.3,,Smoke Free,3180,Physical Facilities - Cleaning Frequency and Restrictions,FALSE,TRUE,Floor areas under equipment noted in need of cleaning.,"All floors, walls, and ceilings must be cleaned as often as necessary to keep them clean. Cleaning of the physical facilities is an important measure in ensuring the protection and sanitary preparation of food. A regular cleaning schedule should be established and followed to maintain the facility in a clean and sanitary manner.  Manager agreed to take corrective action.",,84E71FE15B42A50A852578D8006DA5E9,84E71FE15B42A50A852578D8006DA5E9
000742E5C32EA696852572AD006B04E7,Court Square Tavern,Active,Permitted,Full Service Restaurant,SWAS-6ZRQWU,500 East Jefferson Street #305,Charlottesville,Charlottesville City,VA,22902,Yes,No,Yes,Thomas Jefferson,217D569CAB131EAA8525781E00729DEF,Court Square Tavern,Full Service Restaurant,Routine,Eric S. Myers,1/20/2011 12:00:00 AM,2,2,0,,Smoke Free,840,Ready-to-Eat - Potentially Hazardous Food - Disposition*,TRUE,FALSE,"The prepared ready-to-eat (RTE) chili in the refrigeration unit was not discarded within 7 days of productiond date.   Code date on this product was ""1/8/11"".","Discard the food at this time and ensure all prepared RTE food is served, sold or discarded by the """"consume by"""" date. Some harmful bacteria continue to grow even at refrigeration temperatures so limiting the amount of time in storage limits the amount of growth allowed for these bacteria.  Person-In-Charge agreed to take corrective action.",Corrected,217D569CAB131EAA8525781E00729DEF,217D569CAB131EAA8525781E00729DEF
000742E5C32EA696852572AD006B04E7,Court Square Tavern,Active,Permitted,Full Service Restaurant,SWAS-6ZRQWU,500 East Jefferson Street #305,Charlottesville,Charlottesville City,VA,22902,Yes,No,Yes,Thomas Jefferson,217D569CAB131EAA8525781E00729DEF,Court Square Tavern,Full Service Restaurant,Routine,Eric S. Myers,1/20/2011 12:00:00 AM,2,2,0,,Smoke Free,3330,Toxics - Common Name/working Containers of Toxics*,TRUE,FALSE,Working containers of chemicals (detergent & spray bottles) are not properly labeled.,Working containers of toxic items are to be properly labeled with contents. Identification of these containers with the common name of the material helps prevent the dangerous misuse of the contents.  Person-In-Charge agreed to corrective actions.,,217D569CAB131EAA8525781E00729DEF,217D569CAB131EAA8525781E00729DEF
