PARENTUNID,Name,Stage,Status,FacilityType,DocumentID,AssignedTo,Address,City,County,State,Zip,PHF,PHFCooked,PHFRaw,Database,HSUNID,FacilityName,FacilityType,InspectionType,InspectedBy,InspectionDate,NumCritical,NumNonCritical,TimeSpent,Enforcement,NonSmoking,UNID
000742E5C32EA696852572AD006B04E7,Court Square Tavern,Active,Permitted,Full Service Restaurant,SWAS-6ZRQWU,Eric S. Myers,500 East Jefferson Street #305,Charlottesville,Charlottesville City,VA,22902,Yes,No,Yes,Thomas Jefferson,217D569CAB131EAA8525781E00729DEF,Court Square Tavern,Full Service Restaurant,Routine,Eric S. Myers,1/20/2011 12:00:00 AM,2,2,0,,Smoke Free,217D569CAB131EAA8525781E00729DEF
000742E5C32EA696852572AD006B04E7,Court Square Tavern,Active,Permitted,Full Service Restaurant,SWAS-6ZRQWU,Eric S. Myers,500 East Jefferson Street #305,Charlottesville,Charlottesville City,VA,22902,Yes,No,Yes,Thomas Jefferson,84E71FE15B42A50A852578D8006DA5E9,Court Square Tavern,Full Service Restaurant,Routine,Eric S. Myers,7/6/11 0:00,3,5,1.3,,Smoke Free,84E71FE15B42A50A852578D8006DA5E9
003821278E0501E088256B6F0055AAED,Have Food - Will Travel,Active,Permitted,Caterer,BMOO-5B7M39,Abdugheni Ubul,213 East Water Street #3,Charlottesville,Charlottesville City,VA,22902,Yes,No,Yes,Thomas Jefferson,784523E0270F00FE852577D0006D6BC7,Have Food - Will Travel,Caterer,Risk Factor Assessment,Roy Crewz,3/11/10 0:00,0,0,0,,Smoke Free,784523E0270F00FE852577D0006D6BC7
007C36613B342F7988256B6C007ED447,Hibachi Grill Supreme Buffet,Active,Permitted,Full Service Restaurant,SWAS-86QN35,Reed Cranford,1185 Seminole Trail,Charlottesville,Charlottesville City,Virginia,22901,Yes,Yes,Yes,Thomas Jefferson,4511DDB027908ED6852578420072AAC8,Hibachi Grill Supreme Buffet,Full Service Restaurant,Routine,Reed Cranford,2/25/2011 12:00:00 AM,5,8,0,,Smoke Free,4511DDB027908ED6852578420072AAC8
007C36613B342F7988256B6C007ED447,Hibachi Grill Supreme Buffet,Active,Permitted,Full Service Restaurant,SWAS-86QN35,Reed Cranford,1185 Seminole Trail,Charlottesville,Charlottesville City,Virginia,22901,Yes,Yes,Yes,Thomas Jefferson,3C51BC604212A76B852578D2005A5E3A,Hibachi Grill Supreme Buffet,Full Service Restaurant,Risk Factor Assessment,Reed Cranford,7/19/2011 12:00:00 AM,2,0,0,,Smoke Free,3C51BC604212A76B852578D2005A5E3A
007C36613B342F7988256B6C007ED447,Hibachi Grill Supreme Buffet,Active,Permitted,Full Service Restaurant,SWAS-86QN35,Reed Cranford,1185 Seminole Trail,Charlottesville,Charlottesville City,Virginia,22901,Yes,Yes,Yes,Thomas Jefferson,FAC1140D3D7F2C24852577C7006D1300,Hibachi Grill,Full Service Restaurant,Routine,Eric S. Myers,10/22/2010 12:00:00 AM,0,3,1.3,,Smoke Free,FAC1140D3D7F2C24852577C7006D1300
007C36613B342F7988256B6C007ED447,Hibachi Grill Supreme Buffet,Active,Permitted,Full Service Restaurant,SWAS-86QN35,Reed Cranford,1185 Seminole Trail,Charlottesville,Charlottesville City,Virginia,22901,Yes,Yes,Yes,Thomas Jefferson,3CDBB4FACDB044C7852577D50073BDDA,Hibachi Grill,Full Service Restaurant,Follow-up,Reed Cranford,8/11/10 0:00,3,3,1.5,,Smoke Free,3CDBB4FACDB044C7852577D50073BDDA
007C36613B342F7988256B6C007ED447,Hibachi Grill Supreme Buffet,Active,Permitted,Full Service Restaurant,SWAS-86QN35,Reed Cranford,1185 Seminole Trail,Charlottesville,Charlottesville City,Virginia,22901,Yes,Yes,Yes,Thomas Jefferson,3A44EF61D8C96FE3852577DF00604EEF,Hibachi Grill,Full Service Restaurant,Complaint,Reed Cranford,11/18/2010 12:00:00 AM,0,0,1,,Smoke Free,3A44EF61D8C96FE3852577DF00604EEF
007C36613B342F7988256B6C007ED447,Hibachi Grill Supreme Buffet,Active,Permitted,Full Service Restaurant,SWAS-86QN35,Reed Cranford,1185 Seminole Trail,Charlottesville,Charlottesville City,Virginia,22901,Yes,Yes,Yes,Thomas Jefferson,46260E45856DC0F2852577EC006F7F7D,Hibachi Grill Supreme Buffet,Full Service Restaurant,Complaint,Reed Cranford,11/29/2010 12:00:00 AM,0,0,0.7,,Smoke Free,46260E45856DC0F2852577EC006F7F7D
007C36613B342F7988256B6C007ED447,Hibachi Grill Supreme Buffet,Active,Permitted,Full Service Restaurant,SWAS-86QN35,Reed Cranford,1185 Seminole Trail,Charlottesville,Charlottesville City,Virginia,22901,Yes,Yes,Yes,Thomas Jefferson,59563949ADFACB69852577F90055BE5C,Hibachi Grill Supreme Buffet,Full Service Restaurant,Complaint,Reed Cranford,3/12/10 0:00,0,0,0.5,,Smoke Free,59563949ADFACB69852577F90055BE5C
007C36613B342F7988256B6C007ED447,Hibachi Grill Supreme Buffet,Active,Permitted,Full Service Restaurant,SWAS-86QN35,Reed Cranford,1185 Seminole Trail,Charlottesville,Charlottesville City,Virginia,22901,Yes,Yes,Yes,Thomas Jefferson,55D5BF2A577595D385257834006F5EA7,Hibachi Grill Supreme Buffet,Full Service Restaurant,Complaint,Reed Cranford,11/2/11 0:00,0,0,0.8,,Smoke Free,55D5BF2A577595D385257834006F5EA7
007C36613B342F7988256B6C007ED447,Hibachi Grill Supreme Buffet,Active,Permitted,Full Service Restaurant,SWAS-86QN35,Reed Cranford,1185 Seminole Trail,Charlottesville,Charlottesville City,Virginia,22901,Yes,Yes,Yes,Thomas Jefferson,42AA5DF48CC4AB2E8525784C005A9C36,Hibachi Grill Supreme Buffet,Full Service Restaurant,Follow-up,Reed Cranford,7/3/11 0:00,0,0,1,,Smoke Free,42AA5DF48CC4AB2E8525784C005A9C36
00E304DA6A12832588256B6C007ECBE2,Domino's Pizza #4242,Active,Permitted,Fast Food Restaurant,EBIE-57R2FB,Archer Campbell,508 Stewart Street,Charlottesville,Charlottesville City,Virginia,22903,Yes,No,No,Thomas Jefferson,9BDEC7DC63C523688525787E0057209C,Domino's Pizza #4242,Fast Food Restaurant,Routine,Archer Campbell,4/26/2011 12:00:00 AM,0,2,0,,Smoke Free,9BDEC7DC63C523688525787E0057209C
00E304DA6A12832588256B6C007ECBE2,Domino's Pizza Mobile Store,Active,Permitted,Mobile Food Unit,EBIE-57R2F5,Eric S. Myers,508 Stewart Street,Charlottesville,Charlottesville City,Virginia,22903,Yes,No,No,Thomas Jefferson,B65DBC79067F9D518525789B006C9707,Domino's Pizza Mobile Store,Mobile Food Unit,Routine,Eric S. Myers,4/22/2011 12:00:00 AM,0,1,0.7,,Smoke Free,B65DBC79067F9D518525789B006C9707
0109939E73E1E2B288256B6C007EF882,Romas Restaurant,Active,Permitted,Full Service Restaurant,EBIE-57R2QL,Abdugheni Ubul,406 East Main Street,Louisa,Louisa,Virginia,23093,Yes,Yes,Yes,Thomas Jefferson,F35595BE505D5D6485257792005ABB51,Romas Restaurant,Full Service Restaurant,Routine,Roy Crewz,2/9/10 0:00,4,5,0,,Smoke Free,F35595BE505D5D6485257792005ABB51
0109939E73E1E2B288256B6C007EF882,Romas Restaurant,Active,Permitted,Full Service Restaurant,EBIE-57R2QL,Abdugheni Ubul,406 East Main Street,Louisa,Louisa,Virginia,23093,Yes,Yes,Yes,Thomas Jefferson,894A3AA9E841A0B38525779B0057AFB7,Romas Restaurant,Full Service Restaurant,Routine,Roy Crewz,10/9/10 0:00,1,3,0,,Smoke Free,894A3AA9E841A0B38525779B0057AFB7
0109939E73E1E2B288256B6C007EF882,Romas Restaurant,Active,Permitted,Full Service Restaurant,EBIE-57R2QL,Abdugheni Ubul,406 East Main Street,Louisa,Louisa,Virginia,23093,Yes,Yes,Yes,Thomas Jefferson,4AD9C8C554B0F0308525784E005B5384,Romas Restaurant,Full Service Restaurant,Routine,Roy Crewz,9/3/11 0:00,1,4,0,,Smoke Free,4AD9C8C554B0F0308525784E005B5384
016805C3224CF96285256BEB004AF764,Blue Ridge Juvenile Detention,Active,Permitted,Dept. of Juvenile Justice Food Service,MNAR-5BPJ8V,Reed Cranford,195 Peregory Lane,Charlottesville,Albemarle,VA,22902,Yes,No,Yes,Thomas Jefferson,3CD61A71F325AFD085257853005A5338,Blue Ridge Juvenile Detention,Jail Food Service,Routine,Eric S. Myers,2/2/11 0:00,0,4,0,,Smoke Free,3CD61A71F325AFD085257853005A5338
016805C3224CF96285256BEB004AF764,Blue Ridge Juvenile Detention,Active,Permitted,Dept. of Juvenile Justice Food Service,MNAR-5BPJ8V,Reed Cranford,195 Peregory Lane,Charlottesville,Albemarle,VA,22902,Yes,No,Yes,Thomas Jefferson,13AED97CB86D2050852578DF0053C13A,Blue Ridge Juvenile Detention,Jail Food Service,Risk Factor Assessment,Reed Cranford,1/8/11 0:00,1,0,0,,Smoke Free,13AED97CB86D2050852578DF0053C13A
016A74869ED401D58525768F0062B67B,Smoothie King,Active,Permitted,Full Service Restaurant,TBAN-7YTP5M,Eric Stutz,1980 Abbey Road,Charlottesville,Albemarle,VA,22911,Yes,No,No,Thomas Jefferson,B11AFADA8149854C85257869006DA9EA,Smoothie King,Full Service Restaurant,Routine,Eric Stutz,5/4/11 0:00,0,3,1,,Smoke Free,B11AFADA8149854C85257869006DA9EA
0201C430A7993D1C88256B6C007EC420,Clifton-The Country Inn,Active,Permitted,Full Service Restaurant,EBIE-57R2DQ,Archer Campbell,1296 Clifton Inn Drive,Charlottesville,Albemarle,Virginia,22911,Yes,Yes,Yes,Thomas Jefferson,BDDE4CEB9AD5EEE885257832006BA8D0,Clifton-The Country Inn,Full Service Restaurant,Risk Factor Assessment,Archer Campbell,9/2/11 0:00,2,0,0,,Outdoor smoking area,BDDE4CEB9AD5EEE885257832006BA8D0
0201C430A7993D1C88256B6C007EC420,Clifton-The Country Inn,Active,Permitted,Full Service Restaurant,EBIE-57R2DQ,Archer Campbell,1296 Clifton Inn Drive,Charlottesville,Albemarle,Virginia,22911,Yes,Yes,Yes,Thomas Jefferson,515491767BE1C80E852578FB00684634,Clifton-The Country Inn,Full Service Restaurant,Routine,Archer Campbell,8/29/2011 12:00:00 AM,3,4,0,,Smoke Free,515491767BE1C80E852578FB00684634
0232CCC1EEA7ECBA8525713300488A43,Himalayan Fusion,Active,Permitted,Full Service Restaurant,DCHL-6MXHJV,Kelly Donahoe,520 East Main Street,Charlottesville,Charlottesville City,VA,22901,Yes,Yes,Yes,Thomas Jefferson,17AC6C341EAABC05852577AF006073E5,Himalayan Fusion,Full Service Restaurant,Routine,Archer Campbell,1/10/10 0:00,5,5,0,,Smoke Free,17AC6C341EAABC05852577AF006073E5
0232CCC1EEA7ECBA8525713300488A43,Himalayan Fusion,Active,Permitted,Full Service Restaurant,DCHL-6MXHJV,Kelly Donahoe,520 East Main Street,Charlottesville,Charlottesville City,VA,22901,Yes,Yes,Yes,Thomas Jefferson,66BF4F3C47942A948525787100641A92,Himalayan Fusion,Full Service Restaurant,Routine,Kelly Donahoe,4/13/2011 12:00:00 AM,0,2,1,,Smoke Free,66BF4F3C47942A948525787100641A92
026EFA599CB2716088256B6C007EF80C,Rockfish River Elementary Cafeteria,Active,Permitted,Public Elementary School Food Service,EBIE-57R2QH,Reed Cranford,200 Chapel Hollow Road,Afton,Nelson,Virginia,22920,Yes,Yes,No,Thomas Jefferson,E4F312BD735941B785257846004C67B1,Rockfish River Elementary Cafeteria,Public Elementary School Food Service,Risk Factor Assessment,Reed Cranford,1/3/11 0:00,0,0,0,,Smoke Free,E4F312BD735941B785257846004C67B1
026EFA599CB2716088256B6C007EF80C,Rockfish River Elementary Cafeteria,Active,Permitted,Public Elementary School Food Service,EBIE-57R2QH,Reed Cranford,200 Chapel Hollow Road,Afton,Nelson,Virginia,22920,Yes,Yes,No,Thomas Jefferson,32C977443C0C6244852577A7005DE103,Rockfish River Elementary Cafeteria,Public Elementary School Food Service,Routine,Kelly Donahoe,9/23/2010 12:00:00 AM,0,1,0,,Smoke Free,32C977443C0C6244852577A7005DE103
0292287FBAEE72C68525702A004375CD,Bodo's Bagels #3,Active,Permitted,Fast Food Restaurant,SWAS-6DNGGV,Pamela Burke,1609 University Avenue,Charlottesville,Charlottesville City,VA,22903,Yes,Yes,No,Thomas Jefferson,EC66D81D1C6DE0AB8525781E00575BF5,Bodo's Bagels #3,Fast Food Restaurant,Routine,Pamela Burke,1/20/2011 12:00:00 AM,0,0,0,,Smoke Free,EC66D81D1C6DE0AB8525781E00575BF5
02DCEC2B41B2090F88256B6C007EE44E,Downtown Thai Restaurant,Active,Permitted,Full Service Restaurant,TBAN-5XBK9W,Pamela Burke,111 West Water Street,Charlottesville,Charlottesville City,Virginia,22902,Yes,No,Yes,Thomas Jefferson,185AEB63549C5E158525789B005DD20E,Downtown Thai Restaurant,Full Service Restaurant,Risk Factor Assessment,Pamela Burke,5/25/2011 12:00:00 AM,1,2,0,,Smoke Free,185AEB63549C5E158525789B005DD20E
02F17E456D520077852576D4005FEC34,John Paul Jones Arena Dining,Active,Permitted,Full Service Restaurant,MNAR-6X8TL4,Eric Stutz,295 Massie Road,Charlottesville,Albemarle,VA,22903,Yes,Yes,Yes,Thomas Jefferson,AA8C87090B6F35CA852578550055197C,John Paul Jones Arena Dining,Full Service Restaurant,Risk Factor Assessment,Eric Stutz,3/16/2011 12:00:00 AM,1,0,0,,Smoke Free,AA8C87090B6F35CA852578550055197C
